City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
Colorado Springs,0,1,0,831,41.4,20,0.118,0.053,0.006,0.017,0.183,0.006,0.073,0.662,62.45882
Meeker,0,0,0,153,8,19,0.34,0,0.007,0,0.15,0,0.007,0.837,61.91055
Simla,1,0,0,76,7.3,10.4,0.513,0.013,0.013,0,0.039,0.013,0.039,0.882,61.78682
Brighton,0,1,0,932,51,18.2,0.244,0.002,0.002,0.014,0.278,0.002,0.024,0.678,61.46855
Fruita,0,0,0,577,36.6,15.7,0.315,0.007,0.002,0.01,0.159,0.007,0.029,0.785,61.45343
Firestone,0,1,0,627,39.9,15.7,0.163,0.013,0.003,0.022,0.136,0.002,0.011,0.813,61.22055
Pueblo West,0,0,0,575,29.3,19.6,0.311,0.005,0.007,0.003,0.287,0,0.033,0.664,60.78736
New Castle,0,0,0,682,38.5,17.7,0.463,0.001,0.001,0.004,0.387,0.001,0.015,0.589,60.71364
Durango,0,0,0,412,29.5,13.9,0.277,0,0.034,0.002,0.165,0,0.019,0.779,60.60818
Bayfield,0,0,0,306,19.5,15.6,0.324,0,0.02,0,0.141,0.003,0.013,0.824,60.24418
Wiley,0,0,0,117,10.6,11,0.41,0.009,0,0,0.188,0,0.051,0.752,60.148
Wheat Ridge,0,1,0,498,21.6,23,0.155,0.008,0.004,0.016,0.122,0,0.036,0.813,59.89691
Keenesburg,0,1,0,162,11.9,13.5,0.093,0,0.006,0.012,0.062,0,0.043,0.877,59.23643
Lakewood,0,0,0,591,32,18.4,0.486,0.014,0.012,0.024,0.315,0.003,0.029,0.604,59.23088
Broomfield,0,0,0,554,31.9,17.3,0.276,0.009,0.007,0.042,0.227,0,0.031,0.684,59.22245
Basalt,0,0,0,482,30.5,15.7,0.425,0,0,0.012,0.537,0,0.008,0.442,59.02236
Longmont,0,0,0,608,33.6,18,0.523,0.013,0.003,0.021,0.424,0.008,0.021,0.508,58.80236
Akron,1,0,0,241,20.4,11.7,0.51,0.004,0,0.017,0.178,0,0.029,0.772,58.78445
Evergreen,0,0,0,128,8.3,15.3,0.383,0,0.016,0.008,0.063,0,0.039,0.875,58.7735
Pueblo West,0,1,0,332,17.7,18.7,0.256,0.006,0.006,0.024,0.241,0,0.015,0.708,58.04864
Elizabeth,0,0,0,529,28.8,18.3,0.229,0.006,0.004,0.002,0.098,0.002,0.017,0.871,57.93118
