District,City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14),Average Standard Score (2012-13)
Poudre School District R-1,Laporte,0,0,0,304,19,16,0.329,0.01,0.01,0,0.135,0.003,0.026,0.816,66.56727,66.5206
"Douglas County School District, No. Re 1",Castle Rock,0,0,0,886,48.8,18.1,0.139,0.009,0.009,0.01,0.132,0.001,0.035,0.804,66.5475,69.12629
"Limon School District, No. Re 4j",Limon,0,0,0,233,15.4,15,0.433,0.03,0.009,0,0.107,0,0.026,0.828,66.49309,67.4187
State Charter School Institute,Carbondale,0,1,0,233,13.3,17.4,0.232,0,0.004,0.009,0.21,0.009,0.013,0.755,66.2348,63.689
Boulder Valley School District No. Re2,Boulder,0,0,0,547,32.3,16.9,0.294,0.007,0.007,0.06,0.236,0,0.029,0.66,66.09682,65.3825
"Cherry Creek, School District No. 5",Aurora,0,0,0,1297,70.9,18.2,0.21,0.105,0.005,0.059,0.155,0.001,0.077,0.598,65.90027,69.7423
"Cherry Creek, School District No. 5",Aurora,0,0,0,889,48.3,18.4,0.222,0.123,0.006,0.083,0.173,0.001,0.06,0.555,65.82164,69.0472
"Swink, School District No. 33",Swink,0,0,0,155,13.4,11.5,0.348,0.019,0.006,0.058,0.006,0,0.013,0.897,65.61675,56.21086
Poudre School District R-1,Wellington,0,0,0,423,25.5,16.5,0.39,0.012,0.017,0.009,0.151,0.002,0.009,0.799,64.55291,63.9105
Summit School District No. Re 1,Frisco,0,0,0,703,45.3,15.5,0.398,0.004,0,0.007,0.317,0.001,0.03,0.64,64.30055,63.2506
East Grand School District No. 2,Granby,0,0,0,276,20.8,13.2,0.344,0.004,0.007,0,0.094,0.011,0.004,0.88,63.25545,74.1104
School District No. Re-5 Plateau,Peetz,0,0,0,102,8.6,11.8,0.294,0,0.02,0,0.02,0,0.029,0.931,63.24838,51.43243
Poudre School District R-1,Fort Collins,0,0,0,545,33.5,16.2,0.45,0.02,0.004,0.029,0.185,0.004,0.04,0.717,63.03873,63.1635
"Falcon, School District No. 49",Colorado Springs,0,1,0,831,41.4,20,0.118,0.053,0.006,0.017,0.183,0.006,0.073,0.662,62.45882,71.6291
Meeker School District Re1,Meeker,0,0,0,153,8,19,0.34,0,0.007,0,0.15,0,0.007,0.837,61.91055,67.2129
Big Sandy School District No. 100j,Simla,1,0,0,76,7.3,10.4,0.513,0.013,0.013,0,0.039,0.013,0.039,0.882,61.78682,59.3162
School District 27j,Brighton,0,1,0,932,51,18.2,0.244,0.002,0.002,0.014,0.278,0.002,0.024,0.678,61.46855,54.4157
Mesa County Valley School District No. 51,Fruita,0,0,0,577,36.6,15.7,0.315,0.007,0.002,0.01,0.159,0.007,0.029,0.785,61.45343,62.55033
St. Vrain Valley School District No. Re1j,Firestone,0,1,0,627,39.9,15.7,0.163,0.013,0.003,0.022,0.136,0.002,0.011,0.813,61.22055,58.94
Pueblo County School District 70,Pueblo West,0,0,0,575,29.3,19.6,0.311,0.005,0.007,0.003,0.287,0,0.033,0.664,60.78736,60.3695
Garfield School District No. Re-2,New Castle,0,0,0,682,38.5,17.7,0.463,0.001,0.001,0.004,0.387,0.001,0.015,0.589,60.71364,56.1307
Durango School District No. 9-R,Durango,0,0,0,412,29.5,13.9,0.277,0,0.034,0.002,0.165,0,0.019,0.779,60.60818,73.667
