District,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014),Average Standard Score (2013)
Hoehne Reorganized School District No. 3,1,0,0,179,12.9,13.7,0.48,0,0,0.017,0.52,0,0,0.464,40.35043,31.29269
School District No. 3,0,0,0,536,27.8,19.2,0.425,0.116,0.007,0.015,0.254,0.006,0.09,0.513,40.30009,47.0688
"Colorado Springs, School District No. 11",0,0,0,497,28.8,17.2,0.736,0.064,0.012,0.034,0.302,0.006,0.089,0.493,40.21182,37.5477
Mesa County Valley School District No. 51,0,0,0,538,28.5,18.8,0.387,0.011,0.002,0.006,0.162,0.004,0.048,0.768,40.18427,28.9321
Jefferson County School District No. R-1,0,1,0,377,16.4,22.9,0.21,0.011,0.003,0.008,0.106,0,0.045,0.828,40.09043,41.81477
Mesa County Valley School District No. 51,0,0,0,552,28.5,19.3,0.368,0.009,0,0.005,0.194,0,0.036,0.755,39.75045,42.8446
Sierra Grande School District No. R-30,1,0,0,256,22.5,11.3,0.859,0.004,0,0.004,0.789,0,0.027,0.176,39.71555,(n/a)
Boulder Valley School District No. Re2,1,0,0,354,26.4,13.3,0.328,0.028,0.003,0.09,0.297,0.003,0.031,0.548,39.60355,48.3669
"Littleton, School District No. 6",1,0,0,333,24.6,13.5,0.802,0.027,0.012,0.042,0.613,0,0.039,0.267,39.57127,44.3178
Jefferson County School District No. R-1,0,0,0,203,13.1,15.4,0.626,0.01,0.005,0.02,0.31,0,0.054,0.601,39.49057,52.95308
"Harrison, School District No. 2",1,0,0,271,22.5,12,0.86,0.159,0.004,0.015,0.354,0,0.103,0.365,39.41927,23.3713
Pueblo County School District 70,1,0,0,224,17.3,12.9,0.804,0,0.009,0,0.616,0,0.054,0.321,39.41145,29.5197
Jefferson County School District No. R-1,0,0,0,343,17.1,19.9,0.647,0.009,0.003,0.015,0.379,0,0.05,0.545,39.1,28.53446
"Cherry Creek, School District No. 5",1,0,0,484,34.9,13.8,0.537,0.182,0.006,0.05,0.283,0,0.07,0.409,39.08755,34.4424
Pueblo County School District 70,1,0,0,285,19.5,14.6,0.561,0,0.007,0,0.347,0,0.035,0.611,39.07918,29.4287
"Cherry Creek, School District No. 5",1,0,0,498,27.9,17.8,0.488,0.11,0.008,0.018,0.311,0.004,0.09,0.458,38.88318,39.3618
School District No. C-1,0,1,0,404,19.2,20.9,0.104,0.005,0.007,0,0.059,0,0.027,0.901,38.86036,40.74462
School District 27j,0,1,0,691,35,19.7,0.427,0.02,0.003,0.016,0.457,0.003,0.032,0.469,38.82279,41.46846
Akron School District No. R-1,1,0,0,241,20.4,11.7,0.51,0.004,0,0.017,0.178,0,0.029,0.772,38.77729,39.58192
"Fountain, School District No. 8",1,0,0,488,32.4,15,0.691,0.164,0.014,0.008,0.266,0.014,0.074,0.459,38.59436,54.7233
Mesa County Valley School District No. 51,0,0,0,424,23,18.4,0.422,0.009,0.005,0.014,0.182,0,0.019,0.771,38.47045,28.3001
"Plateau Valley, School District No. 50",1,0,0,180,13.1,13.6,0.328,0,0,0.017,0.117,0,0.028,0.839,38.436,27.3994
Byers School District No. 32j,1,0,0,274,18.2,15,0.489,0,0.007,0,0.15,0,0.018,0.825,38.42464,54.47638
Yuma 1 School District,1,0,0,314,22.1,14.1,0.764,0.003,0,0.003,0.567,0,0.01,0.417,38.381,51.0585
Montrose County School District Re-1j,1,0,0,531,33.6,15.7,0.687,0,0.013,0.004,0.418,0.002,0.024,0.539,38.12991,48.7314
Dolores County School District Re-2j,1,0,0,149,9.6,15.3,0.477,0,0.007,0,0.013,0,0.007,0.973,38.01636,38.9258
"Cherry Creek, School District No. 5",0,0,0,428,25.6,16.6,0.453,0.143,0.005,0.026,0.276,0.002,0.089,0.46,38.00136,49.1266
Fremont Re-1,1,0,0,388,24.3,15.9,0.722,0.003,0.01,0.018,0.168,0.003,0.039,0.76,37.84055,54.7618
Thompson School District R-2j,0,0,0,220,17.7,12.3,0.595,0.014,0,0.009,0.268,0,0.032,0.677,37.82591,35.7268
"Falcon, School District No. 49",1,0,0,572,36.5,15.6,0.353,0.058,0.007,0.035,0.194,0.009,0.068,0.629,37.74564,48.4174
Jefferson County School District No. R-1,1,0,0,380,20.8,18.2,0.695,0.021,0.008,0.037,0.355,0,0.037,0.542,37.48636,36.50969
School District 27j,1,0,0,508,29.2,17.3,0.774,0.022,0.004,0.016,0.778,0,0.004,0.177,37.397,27.7421
Center Consolidated School District No. 26 Jt.,1,0,0,330,17.5,18.8,0.903,0,0.012,0,0.897,0,0.006,0.085,37.37927,29.0429
Archuleta County School District No. 50 Jt,1,0,0,508,34.1,14.8,0.549,0.01,0.01,0.008,0.37,0,0.022,0.581,37.34971,26.48583
Jefferson County School District No. R-1,1,0,0,346,11.5,30,0.54,0.035,0.006,0.012,0.277,0,0.026,0.645,37.21443,39.24585
"Cherry Creek, School District No. 5",0,0,0,561,33.3,16.8,0.378,0.143,0.004,0.032,0.248,0.002,0.075,0.497,37.00282,44.9778
St. Vrain Valley School District No. Re1j,0,0,0,428,27,15.8,0.745,0.012,0.005,0.03,0.526,0,0.021,0.407,36.98191,37.1944
"Greeley,school District No. 6",0,0,0,415,26.2,15.8,0.716,0.01,0,0.01,0.561,0,0.007,0.412,36.907,32.0025
"Westminster, School District No. 50",1,0,0,363,20.7,17.5,0.84,0.008,0.011,0.028,0.738,0,0.025,0.19,36.80882,21.4577
School District No. 1,1,0,0,774,42.5,18.2,0.922,0.014,0.008,0.039,0.858,0,0.006,0.075,36.71155,41.3348
"Colorado Springs, School District No. 11",1,0,0,306,21.1,14.5,0.784,0.049,0.013,0.003,0.448,0.003,0.072,0.412,36.50836,35.6618
"Harrison, School District No. 2",1,0,0,299,20.9,14.2,0.793,0.157,0.03,0.017,0.411,0,0.08,0.304,36.48845,51.6483
"Pueblo, School District No. 60",0,0,0,603,31,19.4,0.66,0.013,0.008,0.003,0.713,0.002,0.015,0.245,36.45486,41.80031
Durango School District No. 9-R,1,0,0,328,26,12.5,0.497,0.006,0.082,0.003,0.256,0,0.021,0.631,36.18009,25.6075
School District No. Re-3 Fort Morgan,1,0,0,303,20.8,14.5,0.838,0.076,0.01,0.003,0.746,0,0.013,0.152,36.17686,39.217
"Alamosa School District, No. Re-11j",1,0,0,1017,60.4,16.8,0.815,0.008,0.005,0.011,0.691,0,0.01,0.275,35.92755,38.8549
Jefferson County School District No. R-1,0,0,0,392,14.1,27.6,0.444,0.013,0.008,0.02,0.398,0.005,0.018,0.538,35.91079,39.90446
Jefferson County School District No. R-1,1,0,0,323,17.8,18.1,0.718,0.022,0.022,0.019,0.396,0.019,0.022,0.502,35.8945,37.07331
Boulder Valley School District No. Re2,1,0,0,473,33.4,14.1,0.44,0.002,0.004,0.004,0.638,0,0.021,0.33,35.83282,40.9991
Eagle County School District No. Re 50,0,0,0,334,20.9,15.9,0.509,0.003,0.003,0.006,0.593,0,0.009,0.386,35.823,38.227
North Park School District R-1,1,0,0,112,7.7,14.4,0.616,0,0,0,0.232,0,0.036,0.732,35.72314,45.23175
Rocky Ford School District No. R2,1,0,0,280,18.8,14.8,0.811,0.011,0.004,0,0.746,0.004,0.004,0.232,35.69093,26.30308
Delta County Joint District No. 50,1,0,0,526,35.4,14.8,0.656,0,0.004,0.023,0.329,0,0.008,0.637,35.64018,40.984
School District No. 1,0,0,0,479,29.5,16.2,0.67,0.317,0.008,0.023,0.261,0.004,0.054,0.332,35.51718,38.9313
Montrose County School District Re-1j,1,0,0,382,24.4,15.6,0.584,0.003,0,0.003,0.377,0,0.013,0.605,35.11873,40.8669
State Charter School Institute,1,1,0,354,20.6,17.1,0.907,0.003,0,0,0.949,0,0.003,0.045,35.11429,34.01723
"Cherry Creek, School District No. 5",1,0,0,761,51.9,14.6,0.623,0.31,0.007,0.049,0.34,0.004,0.057,0.234,35.08791,35.2401
South Routt School District No. Re 3,1,0,0,174,17.6,9.8,0.402,0.011,0.006,0,0.086,0,0.011,0.885,34.98855,22.8796
School District No. 3,1,0,0,347,25.3,13.6,0.562,0.052,0.017,0.003,0.285,0.009,0.121,0.513,34.904,40.7995
"Westminster, School District No. 50",0,0,0,376,21.9,17.1,0.697,0.04,0.011,0.072,0.574,0,0.024,0.279,34.73873,26.1203
School District No. 3,1,0,0,357,27.5,12.9,0.482,0.064,0.003,0.006,0.275,0.006,0.076,0.571,34.67318,38.0684
Roaring Fork School District No. Re-1,1,0,0,519,39.6,13.1,0.491,0.006,0.004,0.004,0.62,0,0.021,0.345,34.304,32.81883
School District No. 1,1,0,0,432,21.7,19.8,0.583,0.007,0.007,0.049,0.674,0,0.016,0.248,34.26829,36.12954
Mesa County Valley School District No. 51,1,0,0,455,27.4,16.5,0.734,0.02,0.004,0,0.466,0,0.057,0.453,34.13909,24.3112
Weld County Reorganized School District No. Re-8,1,0,0,732,42.3,17.2,0.667,0.005,0.003,0.008,0.694,0.001,0.008,0.28,34.13427,18.5183
"Harrison, School District No. 2",1,0,0,354,26,13.6,0.828,0.153,0.006,0.006,0.576,0,0.042,0.218,33.73709,20.4643
Calhan District No. Rj1,1,0,0,204,14.3,14.2,0.451,0.01,0.005,0.005,0.088,0,0.02,0.873,33.71291,32.8158
"Pueblo, School District No. 60",0,0,0,444,21.2,20.9,0.73,0.02,0.005,0,0.637,0,0.009,0.329,33.60779,51.00915
Jefferson County School District No. R-1,0,0,0,378,17.1,21.9,0.595,0.029,0,0.013,0.283,0,0.034,0.64,33.12064,31.36515
Weld County Reorganized School District No. Re-3,1,0,0,505,27.1,18.6,0.624,0.006,0.004,0.002,0.477,0,0.028,0.483,33.02909,30.3258
"Mapleton, School District No. 1",0,0,0,2161,55.3,39,0.394,0.035,0.008,0.012,0.22,0.001,0.063,0.661,32.85636,40.51146
"Colorado Springs, School District No. 11",0,0,0,507,28.5,17.7,0.604,0.043,0.002,0.014,0.306,0.004,0.071,0.56,32.78755,43.4718
Weld County School District No. Re-9,1,0,0,342,25.3,13.5,0.573,0,0.006,0.003,0.336,0,0.02,0.635,32.61891,41.2788
"Pueblo, School District No. 60",1,1,0,1115,76.3,14.5,0.744,0.013,0.007,0.007,0.849,0.003,0.007,0.113,32.47864,46.21231
Adams 12 Five Star Schools,0,0,0,418,21.5,19.4,0.507,0.014,0,0.031,0.328,0.002,0.031,0.593,32.44818,36.2437
"Cherry Creek, School District No. 5",1,0,0,660,42.8,15.4,0.762,0.123,0.003,0.05,0.579,0.002,0.036,0.208,32.38009,19.6524
School District No. Re-2 Brush,1,0,0,297,24.6,12,0.643,0.003,0.003,0.003,0.468,0.003,0.034,0.485,32.36309,35.2239
"Cherry Creek, School District No. 5",1,0,0,668,35.6,18.7,0.436,0.195,0.007,0.034,0.246,0.001,0.087,0.43,32.28373,35.2044
"Harrison, School District No. 2",1,0,0,398,26.9,14.7,0.854,0.138,0.013,0.003,0.563,0.003,0.045,0.236,32.01982,27.0196
Mesa County Valley School District No. 51,1,0,0,469,31.8,14.7,0.791,0.009,0.004,0,0.362,0,0.021,0.603,32.00418,33.5268
School District No. 1,1,0,0,698,40.5,17.2,0.766,0.019,0.009,0.039,0.725,0.001,0.029,0.179,31.95,26.5615
"Englewood, School District No. 1",1,0,0,389,23.6,16.4,0.481,0.021,0.003,0.023,0.267,0.003,0.036,0.648,31.86807,32.74085
Roaring Fork School District No. Re-1,1,0,0,559,42.2,13.2,0.542,0,0.004,0.002,0.574,0,0.011,0.41,31.66445,26.0062
Adams 12 Five Star Schools,0,0,0,418,25.3,16.5,0.648,0.012,0.01,0.057,0.462,0.007,0.029,0.423,31.55882,27.8935
"Pueblo, School District No. 60",0,0,0,561,28,19.9,0.713,0.021,0.014,0.011,0.61,0.004,0.025,0.316,31.5485,32.28092
Jefferson County School District No. R-1,0,0,0,618,30.1,20.5,0.568,0.018,0.011,0.028,0.416,0,0.05,0.477,31.47471,32.50469
Moffat County School District Re: No. 1,1,0,0,299,17.6,16.9,0.488,0.007,0,0.003,0.291,0,0.023,0.676,31.44491,25.2785
School District No. 1,1,0,0,580,35,16.5,0.862,0.291,0.003,0.05,0.379,0.003,0.064,0.209,31.30573,30.1823
School District No. Re-3 Fort Morgan,1,0,0,327,25.2,12.9,0.719,0.006,0.012,0.006,0.609,0,0,0.367,31.19643,36.8075
Poudre School District R-1,1,0,0,378,28.7,13.1,0.767,0.021,0.008,0.003,0.577,0.003,0.029,0.36,31.10555,30.6268
Jefferson County School District No. R-1,1,0,0,198,15,13.1,0.823,0.01,0.015,0.005,0.389,0,0.051,0.53,31.01964,16.974
Jefferson County School District No. R-1,1,0,0,553,32.6,16.9,0.814,0.013,0.014,0.076,0.653,0.004,0.029,0.212,30.99279,24.25162
Lamar School District No. Re-2,1,0,0,320,22,14.5,0.825,0.003,0.003,0,0.691,0,0.022,0.281,30.84091,27.9294
"Colorado Springs, School District No. 11",1,0,0,498,34.6,14.3,0.811,0.114,0.01,0.02,0.337,0,0.116,0.402,30.74573,25.8263
School District No. 1,1,0,0,574,32.7,17.5,0.794,0.214,0.01,0.068,0.477,0,0.03,0.2,30.14264,28.7644
School District No. 1,1,0,0,600,35.2,17,0.84,0.162,0.012,0.042,0.533,0.008,0.052,0.192,30.057,31.0749
"Pueblo, School District No. 60",1,0,0,461,26.9,17.1,0.798,0.022,0.011,0.015,0.764,0.004,0.004,0.18,29.96191,32.2084
"Cheraw, School District No. 31",1,0,0,117,10,11.7,0.547,0.009,0.009,0,0.248,0,0,0.735,29.83433,(n/a)
Centennial School District No. R-1,1,0,0,107,9.3,11.4,0.869,0.019,0,0,0.86,0,0,0.121,29.81267,17.4915
Mesa County Valley School District No. 51,1,0,0,286,16.6,17.1,0.594,0,0.003,0,0.766,0,0.007,0.224,29.75582,24.1112
State Charter School Institute,1,1,0,295,17.1,17.2,0.644,0.22,0.007,0.003,0.397,0.007,0.081,0.285,29.73129,21.13569
Mesa County Valley School District No. 51,0,0,0,356,18,19.7,0.413,0.008,0.008,0.02,0.197,0.003,0.056,0.708,29.52473,32.6199
"Aurora, Joint District No. 28",0,1,0,527,41.3,12.7,0.609,0.142,0.002,0.013,0.548,0,0.032,0.262,29.4345,30.43569
Jefferson County School District No. R-1,1,0,0,396,19,20.8,0.568,0.018,0.003,0.043,0.414,0,0.035,0.487,29.43421,28.33454
"Colorado Springs, School District No. 11",1,0,0,431,28.2,15.2,0.807,0.072,0.021,0.009,0.355,0.002,0.079,0.462,29.13118,36.4322
"Colorado Springs, School District No. 11",0,0,0,265,16,16.5,0.577,0.068,0.004,0.011,0.181,0,0.125,0.611,29.10964,39.1538
School District No. 3,0,0,0,643,32,20,0.423,0.1,0.003,0.022,0.281,0.02,0.093,0.481,29.10273,33.7531
Garfield School District No. Re-2,1,0,0,414,24.2,17,0.645,0.007,0.012,0,0.498,0,0.022,0.461,28.72229,24.21033
Jefferson County School District No. R-1,0,0,0,284,17.3,16.3,0.651,0.039,0.007,0.028,0.257,0.025,0.046,0.599,28.68164,37.64277
"Colorado Springs, School District No. 11",0,0,0,366,23.2,15.7,0.566,0.03,0.008,0.014,0.273,0.008,0.093,0.574,28.61527,55.3343
"Trinidad, School District 1",1,0,0,523,29,18,0.751,0.011,0.013,0.008,0.738,0.004,0.006,0.22,28.14845,45.338
Jefferson County School District No. R-1,0,1,0,374,20.6,18.1,0.008,0.005,0,0.008,0.12,0,0.08,0.786,27.9775,51.0811
"Aurora, Joint District No. 28",1,0,0,497,26,19,0.887,0.125,0.012,0.004,0.765,0.01,0.02,0.064,27.95309,55.8896
Jefferson County School District No. R-1,1,0,0,857,45.8,18.6,0.819,0.015,0.002,0.008,0.854,0,0.015,0.105,27.93686,35.25323
St. Vrain Valley School District No. Re1j,1,0,0,437,29.9,14.5,0.817,0.014,0.002,0.005,0.904,0,0.007,0.069,27.49364,15.9244
Montrose County School District Re-1j,1,0,0,430,26.5,16.2,0.709,0,0.005,0,0.509,0,0.023,0.463,27.43727,17.5857
School District No. 1,1,0,0,484,27.2,17.7,0.746,0.236,0.008,0.019,0.349,0,0.056,0.333,27.41514,29.47123
Weld County School District No. Re-5j,1,0,0,534,32,16.6,0.496,0.002,0,0.002,0.479,0,0.009,0.507,27.26118,43.8805
Weld County Reorganized School District No. Re-1,1,0,0,180,15.5,11.6,0.561,0,0,0,0.717,0,0.022,0.261,27.16536,27.0713
"Colorado Springs, School District No. 11",1,0,0,349,26,13.4,0.808,0.04,0,0.023,0.464,0.011,0.063,0.398,27.10355,44.3885
"Colorado Springs, School District No. 11",0,1,0,173,16.4,10.5,0.694,0.069,0,0.006,0.202,0,0.052,0.671,27.01955,27.47631
West End School District No. Re-2,1,0,0,157,13.1,11.9,0.554,0.013,0,0,0.051,0,0,0.936,26.739,40.56533
"Aurora, Joint District No. 28",0,0,0,700,33.4,20.9,0.459,0.259,0.006,0.076,0.366,0,0.054,0.24,26.69373,38.3683
"Colorado Springs, School District No. 11",0,0,0,578,35.7,16.1,0.554,0.116,0.009,0.017,0.275,0.005,0.1,0.478,26.66455,34.016
School District No. 1,1,0,0,441,23.2,18.9,0.884,0,0.005,0.002,0.959,0,0.009,0.025,26.50421,12.00292
Adams 12 Five Star Schools,0,0,0,434,22.4,19.3,0.475,0.023,0.005,0.028,0.336,0.002,0.016,0.59,26.50373,31.97
Jefferson County School District No. R-1,1,0,0,602,43.3,13.8,0.827,0.028,0.015,0.023,0.49,0.008,0.032,0.404,26.14914,34.00338
School District 27j,0,0,0,494,28.4,17.3,0.506,0.016,0.004,0.012,0.472,0,0.022,0.474,26.13964,40.7822
Jefferson County School District No. R-1,1,0,0,487,31.1,15.6,0.832,0.018,0.004,0.025,0.731,0,0.025,0.197,26.11293,26.62192
School District No. 1,1,1,0,473,30.4,15.5,0.882,0.017,0.008,0,0.915,0.004,0,0.055,26.1015,29.56585
Rangely School District Re4,1,0,0,334,14,23.8,0.308,0,0.012,0,0.09,0.003,0.012,0.883,25.57936,46.0131
School District No. 1,1,0,0,537,36.7,14.6,0.927,0.093,0.002,0.052,0.551,0.002,0.039,0.261,25.53255,18.7396
"Littleton, School District No. 6",1,0,0,387,39.5,9.7,0.806,0.021,0.008,0.021,0.605,0,0.023,0.323,25.31027,23.7961
Thompson School District R-2j,1,0,0,265,18.5,14.2,0.785,0.011,0.015,0.015,0.419,0,0.023,0.517,25.28782,27.923
School District No. 1,1,0,0,721,36.8,19.5,0.788,0.298,0.01,0.032,0.513,0.015,0.051,0.08,25.14155,37.3654
Eagle County School District No. Re 50,1,0,0,552,39,14.1,0.46,0.018,0.009,0.024,0.476,0.002,0.011,0.46,25.12157,37.32554
"Harrison, School District No. 2",1,0,0,335,24.6,13.5,0.773,0.224,0.009,0.024,0.4,0.012,0.048,0.284,25.10845,37.4099
St. Vrain Valley School District No. Re1j,0,0,0,744,42.8,17.3,0.647,0.003,0.004,0.008,0.61,0,0.009,0.366,24.98507,33.9888
Summit School District No. Re 1,1,0,0,300,23.1,12.9,0.643,0.02,0,0.007,0.66,0,0.02,0.293,24.91945,31.265
"Pueblo, School District No. 60",0,0,0,340,20.5,16.5,0.721,0.024,0,0,0.697,0,0.006,0.274,24.88036,26.89592
"Greeley,school District No. 6",0,0,0,446,24.7,18,0.758,0.007,0.007,0.013,0.608,0.004,0.02,0.341,24.80473,31.0185
Delta County Joint District No. 50,0,1,0,506,19.8,25.4,0.294,0.018,0.008,0.012,0.045,0,0.032,0.885,24.80086,22.57654
"Englewood, School District No. 1",1,0,0,284,21.1,13.4,0.796,0.004,0.021,0.014,0.602,0,0.039,0.32,24.76093,21.16431
School District No. 1,1,0,0,318,19.7,16.1,0.931,0.44,0.009,0.009,0.406,0.003,0.047,0.085,24.69971,22.74915
School District No. Re-20 Weldon Valley,1,0,0,125,8.7,14.2,0.328,0,0,0.008,0.144,0,0.024,0.824,24.6498,51.6955
"Mapleton, School District No. 1",1,0,1,514,29,17.6,0.691,0.018,0.01,0.025,0.743,0,0.021,0.183,24.605,9.73231
Thompson School District R-2j,1,0,0,305,23.6,12.8,0.695,0.02,0,0.01,0.361,0.013,0.016,0.58,24.434,22.4143
Weld County Reorganized School District No. Re-8,1,0,0,606,33.4,18.1,0.728,0,0.005,0,0.734,0,0.005,0.256,24.37473,17.2112
School District No. 1,1,0,0,617,35,17.6,0.853,0.326,0.003,0.036,0.488,0.006,0.055,0.086,24.35691,30.4661
"Greeley,school District No. 6",0,0,0,669,32.5,20.5,0.617,0.007,0.001,0.007,0.517,0.001,0.027,0.438,24.31618,24.9215
School District No. 1,1,0,0,425,28,15.1,0.981,0.355,0.009,0.002,0.565,0,0.033,0.035,24.256,14.3302
School District No. 1,1,0,0,342,21.5,15.9,0.766,0.018,0.015,0.053,0.643,0.006,0.012,0.254,24.23355,28.3649
Fremont Re-1,1,0,0,261,17.9,14.5,0.632,0.011,0,0.011,0.123,0.008,0.023,0.824,24.19591,35.5265
Mesa County Valley School District No. 51,1,0,0,409,24.1,16.9,0.753,0.007,0.005,0.012,0.362,0,0.029,0.584,23.89627,23.6773
"Cherry Creek, School District No. 5",1,0,0,843,58.8,14.3,0.642,0.318,0.005,0.066,0.306,0.007,0.075,0.223,23.78873,22.7846
"Colorado Springs, School District No. 11",1,0,0,238,18.7,12.7,0.916,0.13,0.008,0,0.403,0.004,0.084,0.37,23.643,25.6879
School District No. 1,1,0,0,382,25,15.2,0.563,0.01,0,0,0.662,0,0.018,0.309,23.02118,11.5055
"Pueblo, School District No. 60",1,0,0,491,32.2,15.2,0.839,0.012,0.002,0.002,0.859,0,0.002,0.122,22.85927,16.9896
"Douglas County School District, No. Re 1",0,0,0,548,34.1,16,0.443,0.013,0.004,0.015,0.29,0.004,0.029,0.646,22.58314,22.80792
"Aurora, Joint District No. 28",0,0,0,406,23.1,17.5,0.581,0.128,0.01,0.022,0.441,0,0.076,0.323,22.52091,12.3813
"Westminster, School District No. 50",1,0,0,348,22.3,15.5,0.922,0.009,0.006,0.049,0.83,0,0.014,0.092,22.502,9.9698
"Greeley,school District No. 6",0,0,0,440,26.5,16.5,0.95,0.007,0.005,0.009,0.716,0,0.016,0.248,22.49236,19.6301
"De Beque, Joint District No. 49",1,0,0,93,10.7,8.6,0.505,0.011,0,0,0.118,0,0.011,0.86,22.4405,(n/a)
School District No. Re-3 Frenchman,1,0,0,104,10.6,9.7,0.423,0.01,0,0,0.115,0,0.029,0.846,22.40925,17.74
"Colorado Springs, School District No. 11",1,0,0,406,27.4,14.8,0.897,0.101,0.01,0.007,0.532,0,0.076,0.273,22.36845,36.6196
"Westminster, School District No. 50",1,0,0,659,36.2,18.1,0.88,0.009,0.005,0.03,0.839,0,0.011,0.106,22.33,19.4451
School District No. 1,1,0,0,488,30,16.2,0.951,0.016,0.006,0,0.922,0,0.002,0.053,22.15255,19.2867
Poudre School District R-1,1,0,0,391,28.8,13.5,0.749,0.003,0.003,0.008,0.757,0,0.005,0.225,22.149,16.7431
Poudre School District R-1,1,0,0,450,29.6,15.1,0.6,0.018,0.007,0.02,0.418,0,0.033,0.504,22.03773,20.5416
"Mapleton, School District No. 1",1,0,1,284,18,15.7,0.687,0.014,0.007,0.011,0.725,0,0.025,0.218,21.9185,11.386
School District 27j,1,0,0,584,31.3,18.6,0.622,0.005,0.007,0.003,0.64,0,0.019,0.325,21.85693,27.65446
"Aurora, Joint District No. 28",1,0,0,318,16.5,19.2,0.843,0.277,0.013,0.022,0.588,0.006,0.044,0.05,21.73245,14.601
School District No. 1,0,0,0,337,20,16.8,0.484,0.312,0.003,0.03,0.228,0,0.053,0.374,21.65418,35.8215
"Aurora, Joint District No. 28",0,1,0,790,44.1,17.9,0.6,0.301,0.01,0.029,0.449,0.001,0.01,0.199,21.56186,11.25046
Montezuma-Cortez School District No. Re-1,1,0,0,121,7.5,16.1,0.446,0.008,0,0,0.05,0,0.041,0.901,21.39382,38.7691
Jefferson County School District No. R-1,1,0,0,218,13.8,15.7,0.752,0,0,0.023,0.413,0,0.009,0.555,21.35393,25.22269
"Aurora, Joint District No. 28",0,0,0,570,29.1,19.5,0.607,0.177,0.004,0.049,0.447,0.007,0.074,0.242,21.25973,28.2038
Adams 12 Five Star Schools,0,1,0,2672,71.2,37.5,0.167,0.044,0.015,0.013,0.26,0.003,0,0.665,21.11264,20.94885
School District No. 1,1,0,0,377,25.6,14.6,0.899,0.729,0.008,0.003,0.18,0.003,0.034,0.042,21.08309,24.7138
School District No. 1,1,0,0,355,20,17.7,0.851,0.524,0.003,0.003,0.349,0.006,0.031,0.085,20.96782,16.7809
Jefferson County School District No. R-1,1,0,0,506,26.1,19.3,0.877,0.028,0.006,0,0.808,0.006,0.02,0.132,20.91843,27.42523
Adams 12 Five Star Schools,0,0,0,396,23.7,16.6,0.659,0.045,0.008,0.025,0.434,0.003,0.015,0.47,20.84818,14.6937
Mesa County Valley School District No. 51,0,0,0,423,1.7,241.7,0.189,0,0.005,0.002,0.045,0,0.026,0.922,20.80093,29.21523
Mesa County Valley School District No. 51,1,0,0,447,21.6,20.6,0.548,0.007,0.018,0.007,0.26,0.002,0.045,0.662,20.78545,31.1996
Eagle County School District No. Re 50,1,0,0,388,23,16.8,0.691,0.003,0.013,0.005,0.729,0,0.018,0.232,20.58491,47.7754
"Colorado Springs, School District No. 11",1,1,0,693,42.8,16.1,0.895,0.091,0.004,0.01,0.668,0.007,0.035,0.185,20.54209,32.2179
Eagle County School District No. Re 50,1,0,0,316,22.9,13.7,0.791,0.016,0.022,0,0.886,0,0.009,0.066,20.38491,33.8416
School District No. 1,1,0,0,549,33.5,16.3,0.931,0.009,0.009,0.011,0.934,0,0.005,0.031,20.30427,21.2873
Adams 12 Five Star Schools,0,0,0,435,23,18.9,0.628,0.011,0.011,0.044,0.437,0,0.016,0.48,20.13382,19.9824
School District No. 1,1,0,0,628,38.2,16.4,0.904,0.137,0,0.025,0.745,0.01,0.022,0.061,19.98555,16.8883
"Aurora, Joint District No. 28",0,0,0,492,22.1,22.2,0.683,0.171,0.014,0.022,0.508,0.008,0.049,0.228,19.38027,16.0213
"Colorado Springs, School District No. 11",0,0,0,364,22.8,15.9,0.651,0.06,0.011,0.016,0.316,0.003,0.093,0.5,19.17955,24.3087
School District No. 1,1,0,1,829,56.3,14.7,0.935,0.144,0.001,0.004,0.818,0.001,0.021,0.012,19.12186,14.69631
Moffat County School District Re: No. 1,1,0,0,292,18.1,16.1,0.562,0,0.017,0,0.284,0,0.024,0.675,18.91045,17.225
Mesa County Valley School District No. 51,1,0,0,496,29.9,16.5,0.798,0,0.002,0.002,0.367,0,0.03,0.599,18.809,32.7595
"Pueblo, School District No. 60",1,0,0,323,22.8,14.1,0.885,0.009,0.006,0,0.901,0,0.003,0.08,18.69891,12.63715
"Pueblo, School District No. 60",1,0,0,393,22.7,17.2,0.819,0.023,0.008,0.005,0.779,0,0.008,0.178,18.52336,35.7286
Eagle County School District No. Re 50,1,0,0,311,26.7,11.6,0.781,0.006,0.026,0.006,0.788,0,0.006,0.167,18.23618,23.7702
"Colorado Springs, School District No. 11",1,0,0,355,24.2,14.6,0.882,0.194,0.006,0.006,0.414,0,0.073,0.307,18.21527,14.8703
"Westminster, School District No. 50",1,0,0,373,24.3,15.3,0.936,0.003,0.005,0.059,0.799,0,0.011,0.123,18.06727,24.7837
Mesa County Valley School District No. 51,1,0,0,547,35.6,15.3,0.828,0.002,0.011,0.002,0.397,0.002,0.035,0.552,17.90809,15.654
School District No. 1,1,0,0,460,27,17,0.948,0.035,0.024,0.1,0.8,0.002,0.009,0.03,17.77791,14.2065
State Charter School Institute,1,1,0,1053,51.9,20.2,0.63,0.006,0.009,0.036,0.701,0,0.006,0.243,17.75573,28.4494
